Display,Topic,Type,Answer Type,PMI System,PMI Code,Parent code,Date of Last Update
Diverticulitis,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterDigestiveCondition_Diverticulitis,DiagnosedHealthCondition_DaughterDigestiveCondition,4/24/2017
Gall Stones,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterDigestiveCondition_GallStones,DiagnosedHealthCondition_DaughterDigestiveCondition,4/24/2017
Irritable bowel syndrome (IBS),Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterDigestiveCondition_IrritableBowelSyndrome,DiagnosedHealthCondition_DaughterDigestiveCondition,4/24/2017
"Liver condition (e.g., cirrhosis)",Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterDigestiveCondition_LiverCondition,DiagnosedHealthCondition_DaughterDigestiveCondition,4/24/2017
Peptic (stomach) ulcers,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterDigestiveCondition_PepticUlcers,DiagnosedHealthCondition_DaughterDigestiveCondition,4/24/2017
Ulcerative colitis,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterDigestiveCondition_UlcerativeColitis,DiagnosedHealthCondition_DaughterDigestiveCondition,4/24/2017
Hyperthyroidism,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterEndocrineCondition_Hyperthyroidism,DiagnosedHealthCondition_DaughterEndocrineCondition,4/24/2017
Hypothyroidism,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterEndocrineCondition_Hypothyroidism,DiagnosedHealthCondition_DaughterEndocrineCondition,4/24/2017
Other/unknown diabetes (This includes gestational diabetes (diabetes during pregnancy) and borderline diabetes (pre-diabetes).),Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterEndocrineCondition_OtherDiabetes,DiagnosedHealthCondition_DaughterEndocrineCondition,4/24/2017
Other or unknown thyroid condition,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterEndocrineCondition_OtherThyroidCondition,DiagnosedHealthCondition_DaughterEndocrineCondition,4/24/2017
"Type 1 diabetes (Type 1 diabetics do not produce enough insulin on their own, so they have get insulin injections. Type 1 diabetes used to be called juvenile onset diabetes.)",Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterEndocrineCondition_Type1Diabetes,DiagnosedHealthCondition_DaughterEndocrineCondition,4/24/2017
"Type 2 diabetes (Type 1 diabetics do not produce enough insulin on their own, so they have get insulin injections. Type 1 diabetes used to be called juvenile onset diabetes.)",Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterEndocrineCondition_Type2Diabetes,DiagnosedHealthCondition_DaughterEndocrineCondition,4/24/2017
I do not have any daughters related by blood.,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterHealthCondition_NoDaughtersRelated,DiagnosedHealthCondition_DaughterNoSelection,6/29/2018
Kidney disease,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterKidneyCondition_KidneyDisease,DiagnosedHealthCondition_DaughterKidneyCondition,4/24/2017
Kidney stones,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterKidneyCondition_KidneyStones,DiagnosedHealthCondition_DaughterKidneyCondition,4/24/2017
Addiction to alcohol or drugs,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterMentalCondition_Addiction,DiagnosedHealthCondition_DaughterMentalCondition,4/24/2017
Alcohol use disorder,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterMentalCondition_AlcoholUse,DiagnosedHealthCondition_DaughterMentalCondition,4/24/2017
Anxiety reaction/panic disorder,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterMentalCondition_AnxietyPanic,DiagnosedHealthCondition_DaughterMentalCondition,4/24/2017
Autsm spectrum disorder,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterMentalCondition_Autism,DiagnosedHealthCondition_DaughterMentalCondition,4/24/2017
Bipolar disorder,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterMentalCondition_Bipolar,DiagnosedHealthCondition_DaughterMentalCondition,4/24/2017
Depression,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterMentalCondition_Depression,DiagnosedHealthCondition_DaughterMentalCondition,4/24/2017
Drug use disorder,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterMentalCondition_DrugUse,DiagnosedHealthCondition_DaughterMentalCondition,4/24/2017
Schizophrenia,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterMentalCondition_Schizophrenia,DiagnosedHealthCondition_DaughterMentalCondition,4/24/2017
Amyotrophic lateral sclerosis (Lou Gehrig’s disease),Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterNervousCondition_AmyotrophicLateralSclerosis,DiagnosedHealthCondition_DaughterNervousCondition,4/24/2017
"Dementia (includes Alzheimer's, vascular, etc.)",Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterNervousCondition_Dementia,DiagnosedHealthCondition_DaughterNervousCondition,4/24/2017
Epilepsy/seizure,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterNervousCondition_EpilepsySeizure,DiagnosedHealthCondition_DaughterNervousCondition,4/24/2017
Insomnia,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterNervousCondition_Insomnia,DiagnosedHealthCondition_DaughterNervousCondition,4/24/2017
Migraine headaches,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterNervousCondition_MigraineHeadaches,DiagnosedHealthCondition_DaughterNervousCondition,4/24/2017
Multiple sclerosis,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterNervousCondition_MultipleSclerosis,DiagnosedHealthCondition_DaughterNervousCondition,4/24/2017
Muscular dystrophy,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterNervousCondition_MuscularDystrophy,DiagnosedHealthCondition_DaughterNervousCondition,4/24/2017
Narcolepsy,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterNervousCondition_Narcolepsy,DiagnosedHealthCondition_DaughterNervousCondition,4/24/2017
Neuropathy,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterNervousCondition_Neuropathy,DiagnosedHealthCondition_DaughterNervousCondition,4/24/2017
Other types of headaches,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterNervousCondition_OtherHeadaches,DiagnosedHealthCondition_DaughterNervousCondition,4/24/2017
Parkinson's disease,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterNervousCondition_Parkinsons,DiagnosedHealthCondition_DaughterNervousCondition,4/24/2017
Restless legs syndrome,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterNervousCondition_RestlessLegsSyndrome,DiagnosedHealthCondition_DaughterNervousCondition,4/24/2017
Allergies or hay fever,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterOtherHealthCondition_Allergies,DiagnosedHealthCondition_DaughterOtherHealthCondition,4/24/2017
Anemia (low number of red blood cells),Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterOtherHealthCondition_Anemia,DiagnosedHealthCondition_DaughterOtherHealthCondition,4/24/2017
Endometriosis,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterOtherHealthCondition_Endometriosis,DiagnosedHealthCondition_DaughterOtherHealthCondition,4/24/2017
Fibroids,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterOtherHealthCondition_Fibroids,DiagnosedHealthCondition_DaughterOtherHealthCondition,4/24/2017
Hearing loss,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterOtherHealthCondition_HearingLoss,DiagnosedHealthCondition_DaughterOtherHealthCondition,4/24/2017
"Liver condition (e.g., cirrhosis)",Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterOtherHealthCondition_LiverCondition,DiagnosedHealthCondition_DaughterOtherHealthCondition,4/24/2017
I do not have any daughters related by blood.,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterOtherHealthCondition_NoDaughtersRelated,DiagnosedHealthCondition_DaughterOtherHealthCondition,
Obesity,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterOtherHealthCondition_Obesity,DiagnosedHealthCondition_DaughterOtherHealthCondition,4/24/2017
Other,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterOtherHealthCondition_OtherCondition,DiagnosedHealthCondition_DaughterOtherHealthCondition,4/24/2017
Polycystic Ovarian Syndrome,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterOtherHealthCondition_PolycysticOvarianSyndrome,DiagnosedHealthCondition_DaughterOtherHealthCondition,4/24/2017
Reactions to anesthesia (such as hyperthermia),Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterOtherHealthCondition_ReactionsToAnesthesia,DiagnosedHealthCondition_DaughterOtherHealthCondition,4/24/2017
"Sickle cell disease, sickle cell trait, thalassemia",Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterOtherHealthCondition_SickleCell,DiagnosedHealthCondition_DaughterOtherHealthCondition,4/24/2017
"Skin condition (e.g., eczema, psoriasis)",Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterOtherHealthCondition_SkinCondition,DiagnosedHealthCondition_DaughterOtherHealthCondition,4/24/2017
Asthma,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterRespiratoryCondition_Asthma,DiagnosedHealthCondition_DaughterRespiratoryCondition,4/24/2017
"Chronic lung disease (COPD, emphysema or bronchitis)",Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterRespiratoryCondition_ChronicLungDisease,DiagnosedHealthCondition_DaughterRespiratoryCondition,4/24/2017
Sleep apnea,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterRespiratoryCondition_SleepApnea,DiagnosedHealthCondition_DaughterRespiratoryCondition,4/24/2017
Fibromyalgia,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterSkeletalMuscularCondition_Fibromyalgia,DiagnosedHealthCondition_DaughterSkeletalMuscularCondition,4/24/2017
Gout,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterSkeletalMuscularCondition_Gout,DiagnosedHealthCondition_DaughterSkeletalMuscularCondition,4/24/2017
Osteoarthriris,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterSkeletalMuscularCondition_Osteoarthritis,DiagnosedHealthCondition_DaughterSkeletalMuscularCondition,4/24/2017
Osteoporosis,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterSkeletalMuscularCondition_Osteoporosis,DiagnosedHealthCondition_DaughterSkeletalMuscularCondition,4/24/2017
Pseudogout,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterSkeletalMuscularCondition_Pseudogout,DiagnosedHealthCondition_DaughterSkeletalMuscularCondition,4/24/2017
Rheumatoid arthritis,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterSkeletalMuscularCondition_RheumatoidArthritis,DiagnosedHealthCondition_DaughterSkeletalMuscularCondition,4/24/2017
Spine muscle or bone disorders,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterSkeletalMuscularCondition_SpineMuscleBone,DiagnosedHealthCondition_DaughterSkeletalMuscularCondition,4/24/2017
Systemic Lupus,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterSkeletalMuscularCondition_SystemicLupus,DiagnosedHealthCondition_DaughterSkeletalMuscularCondition,4/24/2017
Cataracts,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterVisionCondition_Cataracts,DiagnosedHealthCondition_DaughterVisionCondition,4/24/2017
Glaucoma,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterVisionCondition_Glaucoma,DiagnosedHealthCondition_DaughterVisionCondition,4/24/2017
Hearing loss,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterVisionCondition_HearingLoss,DiagnosedHealthCondition_DaughterVisionCondition,4/24/2017
Macular degeneration,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,DaughterVisionCondition_MacularDegeneration,DiagnosedHealthCondition_DaughterVisionCondition,4/24/2017
Cancer:,Child History,Question,multi-select,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_DaughterCancerCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Circulatory System Conditions:,Child History,Question,multi-select,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_DaughterCirculatoryCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Digestive System Conditions:,Child History,Question,multi-select,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_DaughterDigestiveCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Endocrine Conditions:,Child History,Question,multi-select,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_DaughterEndocrineCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Kidney-Related Conditions:,Child History,Question,multi-select,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_DaughterKidneyCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Mental Health Conditions:,Child History,Question,multi-select,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_DaughterMentalCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Nervous System Conditions:,Child History,Question,multi-select,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_DaughterNervousCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Other selection,Child History,Question,,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_DaughterNoSelection,FamilyMembersDiagnosed_DaughterUpdate,6/29/2018
Other Conditions,Child History,Question,multi-select,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_DaughterOtherHealthCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Respiratory Conditions:,Child History,Question,multi-select,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_DaughterRespiratoryCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Skeletal/Muscular Conditions:,Child History,Question,multi-select,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_DaughterSkeletalMuscularCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Vision Conditions:,Child History,Question,multi-select,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_DaughterVisionCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Cancer:,Child History,Question,multi-select,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_SonCancerCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Circulatory System Conditions:,Child History,Question,multi-select,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_SonCirculatoryCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Digestive System Conditions:,Child History,Question,multi-select,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_SonDigestiveCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Endocrine Conditions:,Child History,Question,multi-select,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_SonEndocrineCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Kidney-Related Conditions:,Child History,Question,multi-select,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_SonKidneyCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Mental Health Conditions:,Child History,Question,multi-select,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_SonMentalCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Nervous System Conditions:,Child History,Question,multi-select,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_SonNervousCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Other selection,Child History,Question,,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_SonNoSelection,FamilyMembersDiagnosed_Son,6/29/2018
Other Conditions,Child History,Question,multi-select,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_SonOtherHealthCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Respiratory Conditions:,Child History,Question,multi-select,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_SonRespiratoryCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Skeletal/Muscular Conditions:,Child History,Question,multi-select,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_SonSkeletalMuscularCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Vision Conditions:,Child History,Question,multi-select,http://terminology.pmi-ops.org/CodeSystem/ppi,DiagnosedHealthCondition_SonVisionCondition,FamilyMembersDiagnosed_DiagnosedHealthCondition,4/24/2017
Child History,Child History,Topic,,http://terminology.pmi-ops.org/CodeSystem/ppi,FamilyHistory_ChildHistory,FamilyHistory,4/24/2017
Please indicate if your daughter(s) has/have ever been diagnosed with the following health conditions and/or health events. Think only of those people you are related to by blood. (select all that apply),Child History,Topic,,http://terminology.pmi-ops.org/CodeSystem/ppi,FamilyMembersDiagnosed_DaughterUpdate,FamilyHistory,6/29/2018
Please indicate if your son(s) has/have ever been diagnosed with the following health conditions and/or health events. Think only of those people you are related to by blood. (select all that apply),Child History,Topic,,http://terminology.pmi-ops.org/CodeSystem/ppi,FamilyMembersDiagnosed_SonUpdate,FamilyHistory,6/29/2018
"Cancer, other",Child History,Question,text,http://terminology.pmi-ops.org/CodeSystem/ppi,OtherCancer_DaughterFreeTextBox,DaughterCancerCondition_OtherCancer,4/24/2017
"Cancer, other",Child History,Question,text,http://terminology.pmi-ops.org/CodeSystem/ppi,OtherCancer_SonFreeTextBox,SonCancerCondition_OtherCancer,4/24/2017
Other (free text),Child History,Question,text,http://terminology.pmi-ops.org/CodeSystem/ppi,OtherCondition_DaughterFreeTextBox,DaughterOtherHealthCondition_OtherCondition,4/24/2017
Other (free text),Child History,Question,text,http://terminology.pmi-ops.org/CodeSystem/ppi,OtherCondition_SonFreeTextBox,SonOtherHealthCondition_OtherCondition,4/24/2017
Bladder cancer,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonCancerCondition_BladderCancer,DiagnosedHealthCondition_SonCancerCondition,4/24/2017
Blood or soft tissue cancer,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonCancerCondition_BloodCancer,DiagnosedHealthCondition_SonCancerCondition,4/24/2017
Bone cancer,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonCancerCondition_BoneCancer,DiagnosedHealthCondition_SonCancerCondition,4/24/2017
Brain cancer,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonCancerCondition_BrainCancer,DiagnosedHealthCondition_SonCancerCondition,4/24/2017
Breast cancer,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonCancerCondition_BreastCancer,DiagnosedHealthCondition_SonCancerCondition,4/24/2017
Cervical cancer,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonCancerCondition_CervicalCancer,DiagnosedHealthCondition_SonCancerCondition,4/24/2017
Colon cancer/Rectal cancer,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonCancerCondition_ColonRectalCancer,DiagnosedHealthCondition_SonCancerCondition,4/24/2017
Endocrine cancer,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonCancerCondition_EndocrineCancer,DiagnosedHealthCondition_SonCancerCondition,4/24/2017
Endometrial cancer,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonCancerCondition_EndometrialCancer,DiagnosedHealthCondition_SonCancerCondition,4/24/2017
Esophageal cancer,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonCancerCondition_EsophagealCancer,DiagnosedHealthCondition_SonCancerCondition,4/24/2017
Eye cancer,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonCancerCondition_EyeCancer,DiagnosedHealthCondition_SonCancerCondition,4/24/2017
"Head and neck (This includes cancers of the mouth, sinuses, nose, or throat. This does not include brain cancer.)",Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonCancerCondition_HeadNeckCancer,DiagnosedHealthCondition_SonCancerCondition,4/24/2017
Kidney cancer,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonCancerCondition_KidneyCancer,DiagnosedHealthCondition_SonCancerCondition,4/24/2017
Lung cancer,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonCancerCondition_LungCancer,DiagnosedHealthCondition_SonCancerCondition,4/24/2017
Other cancer (Please specify: (free text answer)),Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonCancerCondition_OtherCancer,DiagnosedHealthCondition_SonCancerCondition,4/24/2017
Pancreatic cancer,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonCancerCondition_PancreaticCancer,DiagnosedHealthCondition_SonCancerCondition,4/24/2017
Prostate cancer,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonCancerCondition_ProstateCancer,DiagnosedHealthCondition_SonCancerCondition,4/24/2017
Skin cancer,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonCancerCondition_SkinCancer,DiagnosedHealthCondition_SonCancerCondition,4/24/2017
Stomach cancer,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonCancerCondition_StomachCancer,DiagnosedHealthCondition_SonCancerCondition,4/24/2017
Thyroid cancer,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonCancerCondition_ThyroidCancer,DiagnosedHealthCondition_SonCancerCondition,4/24/2017
Anemia,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonCirculatoryCondition_Anemia,DiagnosedHealthCondition_SonCirculatoryCondition,4/24/2017
Aortic aneurysm,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonCirculatoryCondition_AorticAneurysm,DiagnosedHealthCondition_SonCirculatoryCondition,4/24/2017
"Atrial fibrillation (or a-fib) or atrial flutter (or a-flutter). (These conditions cause irregular, often fast, heart beats that can cause poor blood flow. A-fib and a-flutter are not the same as a heart murmur.)",Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonCirculatoryCondition_AtrialFibrilation,DiagnosedHealthCondition_SonCirculatoryCondition,4/24/2017
Congestive heart failure,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonCirculatoryCondition_CongestiveHeartFailure,DiagnosedHealthCondition_SonCirculatoryCondition,4/24/2017
Coronary artery/coronary heart disease (included angina),Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonCirculatoryCondition_CoronaryArteryHeartDisease,DiagnosedHealthCondition_SonCirculatoryCondition,4/24/2017
Heart attack,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonCirculatoryCondition_HeartAttack,DiagnosedHealthCondition_SonCirculatoryCondition,4/24/2017
Heart Valve Disease,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonCirculatoryCondition_HeartValveDisease,DiagnosedHealthCondition_SonCirculatoryCondition,4/24/2017
High blood pressure (Hypertension),Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonCirculatoryCondition_HighBloodPressure,DiagnosedHealthCondition_SonCirculatoryCondition,4/24/2017
High cholesterol,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonCirculatoryCondition_HighCholesterol,DiagnosedHealthCondition_SonCirculatoryCondition,4/24/2017
Peripheral Vascular Disease,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonCirculatoryCondition_PeripheralVascularDisease,DiagnosedHealthCondition_SonCirculatoryCondition,4/24/2017
Pulmonary embolism or deep vein thrombosis (DVT),Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonCirculatoryCondition_PulmonaryEmbolismThrombosis,DiagnosedHealthCondition_SonCirculatoryCondition,4/24/2017
Sickle Cell Disease,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonCirculatoryCondition_SickleCellDisease,DiagnosedHealthCondition_SonCirculatoryCondition,4/24/2017
Stroke,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonCirculatoryCondition_Stroke,DiagnosedHealthCondition_SonCirculatoryCondition,4/24/2017
Sudden death,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonCirculatoryCondition_SuddenDeath,DiagnosedHealthCondition_SonCirculatoryCondition,4/24/2017
No,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonDiagnosisHistory_No,ChildHistory_SonDiagnosisHistory,4/24/2017
I do not have any sons I am related to by blood.,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonDiagnosisHistory_NoBloodRelatedSons,ChildHistory_SonDiagnosisHistory,4/24/2017
"If so, which conditions?",Child History,Question,text,http://terminology.pmi-ops.org/CodeSystem/ppi,SonDiagnosisHistory_WhichConditions,ChildHistory_SonDiagnosisHistory,4/24/2017
Yes,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonDiagnosisHistory_Yes,ChildHistory_SonDiagnosisHistory,4/24/2017
Acid reflux/GERD,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonDigestiveCondition_AcidReflux,DiagnosedHealthCondition_SonDigestiveCondition,4/24/2017
Celiac Disease,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonDigestiveCondition_CeliacDisease,DiagnosedHealthCondition_SonDigestiveCondition,4/24/2017
Colon polyps,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonDigestiveCondition_ColonPolyps,DiagnosedHealthCondition_SonDigestiveCondition,4/24/2017
Crohn's disease,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonDigestiveCondition_CrohnsDisease,DiagnosedHealthCondition_SonDigestiveCondition,4/24/2017
Diverticulitis,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonDigestiveCondition_Diverticulitis,DiagnosedHealthCondition_SonDigestiveCondition,4/24/2017
Gall Stones,Child History,Answer,,http://terminology.pmi-ops.org/CodeSystem/ppi,SonDigestiveCondition_GallStones,DiagnosedHealthCondition_SonDigestiveCondition,4/24/2017
